"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"**831",3,1600,"",8,9,800,4,"","Prenda"
"**832",7,1400,"",8,9,700,4,"","Prenda"
"**833",3,1760,"",8,9,880,4,"","Prenda"
"**834",12,1460,"",8,9,730,4,"","Prenda"
"**834",18,1860,"",8,9,930,4,"","Prenda"
"**835",1,1660,"",8,9,830,4,"","Prenda"
"836",15,1600,"",8,9,800,4,"","Prenda"
"**841",8,1800,"",8,9,900,4,"","Prenda"
"**840",17,1700,"",8,9,850,4,"","Prenda"
"**842",28,1600,"",8,9,800,4,"","Prenda"
"**844",8,1600,"",8,9,800,4,"","Prenda"
"**847",13,1640,"",8,9,820,4,"","Prenda"
"**848",9,1860,"",8,9,930,4,"","Prenda"
"**849",16,1960,"",8,9,980,4,"","Prenda"
"**850",3,1700,"",8,9,850,4,"","Prenda"
"**851",2,1840,"",8,9,920,4,"","Prenda"
"852",1,2200,"",11,12,1100,4,"","Prenda"
"853",0,1500,"",11,12,750,4,"","Prenda"
"854",4,1700,"",11,12,850,4,"","Prenda"
"855",7,1700,"",11,12,850,4,"","Prenda"
"856",4,1600,"",11,12,800,4,"","Prenda"
"***Chal",20,260,"",8,9,130,4,"","Prenda"
"**chal",1,120,"",8,9,60,4,"","Prenda"
"2096",7,1300,"",4,4,650,4,"","Prenda"
"3752",7,1300,"",4,4,650,4,"","Prenda"
"3834",2,1240,"",4,4,620,4,"","Prenda"
"3845",6,1160,"",4,4,580,4,"","Prenda"
"3859",4,1700,"",4,4,850,4,"","Prenda"
"3860",5,1300,"",4,4,650,4,"","Prenda"
"3934",6,1300,"",4,4,650,4,"","Prenda"
"3956",7,800,"",4,4,400,4,"","Prenda"
"3964",5,1240,"",4,4,620,4,"","Prenda"
"3979",12,1300,"",4,4,650,4,"","Prenda"
"4002",9,1180,"",4,4,590,4,"","Prenda"
"4024",15,1580,"",4,4,790,4,"","Prenda"
"4036",8,1240,"",4,4,620,4,"","Prenda"
"4037",9,1500,"",4,4,750,4,"","Prenda"
"4053",3,1080,"",4,4,540,4,"","Prenda"
"4054",6,1440,"",4,4,720,4,"","Prenda"
"4061",5,1340,"",4,4,670,4,"","Prenda"
"4119",15,1320,"",4,4,660,4,"","Prenda"
"4150",6,1800,"",4,4,900,4,"","Prenda"
"4174",2,1998,"",4,4,999,4,"","Prenda"
