"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"8875",4,2400,"",10,11,1200,3,"","Prenda"
"8891",3,2000,"",10,11,1000,3,"","Prenda"
"8895",8,2200,"",10,11,1100,3,"","Prenda"
"8901",3,1860,"",10,11,930,3,"","Prenda"
"8913",5,2400,"",10,11,1200,3,"","Prenda"
"18515",5,2200,"",10,11,1100,3,"","Prenda"
"18629",8,1980,"",10,11,990,3,"","Prenda"
"56951",2,1400,"",10,11,700,3,"","Prenda"
"CDC-1780",1,2600,"1 NUESTRO",6,7,1300,3,"","Prenda"
"NA-2112",1,3000,"nuestro",6,7,1500,3,"","Prenda"
"NA-2526",1,3000,"1 NUESTRO",6,7,1500,3,"","Prenda"
"SP-1075-A",1,3000,"nuestro",6,7,1500,3,"","Prenda"
