Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
797 Pun B,1,1,,0,0,0,0,
722 Pun B,2,2,,0,0,0,0,
765 Pun B,1,1,,0,0,0,0,
3708 Less,1,1,,0,0,0,0,
3629 Less,1,1,,0,0,0,0,
730 Pun B,1,1,,0,0,0,0,
15202 EMA,1,1,,0,0,0,0,
811 Pun B,1,1,,0,0,0,0,
4119 Less,1,1,,0,0,0,0,
832 Pun B,1,1,,0,0,0,0,
3903 Less,1,1,,0,0,0,0,
CD14327 NYX,1,1,,0,0,0,0,
710 P.B,1,1,,0,0,0,0,
712 P.B.,1,1,,400,0,0,400,
719 P.B.,1,1,,400,0,0,400,
720-A P.B.,3,3,,400,0,0,1200,
720 P.B.,2,2,,400,0,0,800,
726 P.B.,2,2,,400,0,0,800,
727 P.B.,6,6,,400,0,0,2400,
Aretes,2,2,,100,0,0,200,
Brazaletes,3,3,,200,0,0,600,
Capa-mod,5,5,,100,0,0,500,
Capitas,46,46,,100,0,0,4600,
Clau-chalbord,9,9,,200,0,0,1800,
CHAL-EVE,1,1,,70,0,0,70,
Chal-conejo,1,1,,200,0,0,200,
Chal-shifon,16,16,,60,0,0,960,
Bolerito-mod,15,15,,60,0,0,900,
Bolero,38,38,,120,0,0,4560,
Saco ,17,17,,100,0,0,1700,
Saco-Shifón,13,13,,150,0,0,1950,
,0,0,,0,0,0,0,
