modelo,nombre,n_existencias,precio,descripcion,id_proveedor,id_marca,costo,id_tienda,notas
14067,Lessan,6,2600.00,"",4,4,1300.00,1,""
14073,Lessan,6,2700.00,"",4,4,1350.00,1,""
14074,Lessan,6,1998.00,"",4,4,999.00,1,""
036,Cocoon,7,230.00,"",1,1,115.00,1,""
1009,Cocoon,14,180.00,"",1,1,90.00,1,""
1116,Cocoon,18,180.00,copas silic,1,1,90.00,1,""
1025,Cocoon,8,270.00,copas tela,1,1,135.00,1,""
1403,Cocoon,4,150.00,"",1,1,75.00,1,""
1425,Cocoon,7,420.00,Nedly,1,1,210.00,1,""
1881,Cocoon,2,200.00,"",1,1,100.00,1,""
103,D Moseli,1,900.00,"",9,6,450.00,1,""
117,D Moseli,8,500.00,"",9,6,250.00,1,""
1777,Libertad,2,500.00,"",5,5,250.00,1,""
bolero,Libertad,1,400.00,"",5,5,200.00,1,""
1122,Libertad,22,1100.00,"",5,5,550.00,1,""
1129,Libertad,9,1200.00,"",5,5,600.00,1,""
1220,Libertad,8,1300.00,"",5,5,650.00,1,""
1240,Libertad,12,1200.00,"",5,5,600.00,1,""
1449,Libertad,9,1200.00,"",5,5,600.00,1,""
1551,Libertad,8,1200.00,"",5,5,600.00,1,""
1554,Libertad,6,1200.00,"",5,5,600.00,1,""
1766,Libertad,17,1300.00,"",5,5,650.00,1,""
1771,Libertad,4,1200.00,"",5,5,600.00,1,""
9070,Eli Corame,5,1000.00,"",2,2,500.00,1,""
9032,Eli Corame,6,1000.00,"",2,2,500.00,1,""
9033,Eli Corame,1,1200.00,"",2,2,600.00,1,""
9071,Eli Corame,7,1200.00,"",2,2,600.00,1,""
9100,Eli Corame,2,1200.00,"",2,2,600.00,1,""
9201,Eli Corame,0,1200.00,"",2,2,600.00,1,""
9205,Eli Corame,0,1200.00,"",2,2,600.00,1,""
9208,Eli Corame,12,1200.00,"",2,2,600.00,1,""
9239,Eli Corame,5,1200.00,"",2,2,600.00,1,""
9260,Eli Corame,5,1000.00,"",2,2,500.00,1,""
